continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status,company_age
Asia,Bachelor's,N,N,3712,South,92324.91,Year,Y,0,34
Asia,Bachelor's,Y,Y,2436,South,85781.67,Year,Y,0,9
North America,High School,N,N,2084,Northeast,463.3973,Hour,Y,1,36
Asia,Bachelor's,N,N,3189,West,165723.2,Year,Y,1,185
Asia,Master's,Y,N,692,Midwest,90161.57,Year,Y,0,29
Asia,Bachelor's,Y,N,6698,South,123092.38,Year,Y,0,26
Asia,Bachelor's,Y,N,2814,West,53790.34,Year,Y,0,76
Europe,High School,N,Y,3275,West,73380.75,Year,Y,1,17
Asia,High School,Y,N,1800,Midwest,107147.5,Year,Y,0,20
Asia,Bachelor's,N,Y,21,South,197658.08,Year,Y,0,55
Asia,High School,Y,N,2941,South,90876.86,Year,N,1,38
Asia,Master's,N,N,1777,Northeast,146558.42,Year,Y,0,27
Europe,Master's,Y,Y,92770,South,38035.1,Year,Y,0,14
Asia,Bachelor's,Y,N,224,Midwest,80253.78,Year,Y,0,15
Asia,Bachelor's,N,N,12749,Northeast,118035.16,Year,Y,0,42
Europe,Master's,Y,N,2067,West,107232.05,Year,Y,0,16
Asia,Master's,N,N,934,Midwest,98278.36,Year,Y,1,46
Asia,Bachelor's,Y,N,1273,Northeast,46124.79,Year,Y,1,100
Asia,Bachelor's,N,Y,819,South,85598.66,Year,Y,0,26
Asia,Bachelor's,N,N,1695,South,56755.66,Year,Y,0,18
Europe,Master's,Y,N,5038,South,34924.08,Year,Y,0,16
Asia,Bachelor's,N,N,70082,Island,100004.98,Year,Y,0,29
Asia,Master's,N,N,546,Midwest,91851.79,Year,Y,0,16
Asia,Master's,N,N,2280,Northeast,73699.02,Year,N,0,34
Asia,High School,Y,N,2862,West,130266.41,Year,Y,1,54
Asia,Master's,N,N,2644,Northeast,23957.53,Year,Y,0,22
Europe,Master's,Y,N,1331,South,96427.28,Year,Y,0,99
Asia,Bachelor's,Y,N,2964,West,137878.09,Year,Y,0,104
South America,Master's,Y,N,2423,Midwest,163067.99,Year,Y,0,18
Asia,Bachelor's,Y,N,837,Northeast,242347.14,Year,Y,0,26
Asia,Master's,Y,N,647,West,57108.72,Year,Y,0,132
Asia,Bachelor's,Y,N,4015,South,19338.78,Year,Y,0,11
Europe,Bachelor's,N,N,4644,Northeast,42727.59,Year,Y,0,62
North America,Bachelor's,N,Y,29448,Midwest,54284.44,Year,Y,0,12
Asia,Bachelor's,N,N,2553,Midwest,68751.19,Year,Y,0,19
Europe,Master's,Y,N,3121,West,27658.53,Year,Y,0,40
Asia,Master's,N,N,125501,Northeast,149194.87,Year,N,1,49
Oceania,Bachelor's,N,N,592,Midwest,269645.3,Year,Y,0,29
Europe,Doctorate,Y,N,4909,South,40084.45,Year,Y,0,11
Africa,Master's,Y,N,2002,Northeast,36737.19,Year,Y,0,53
Asia,High School,Y,N,1448,South,98577.27,Year,N,0,62
Asia,Bachelor's,Y,N,4673,Island,57485.97,Year,Y,0,93
Asia,Bachelor's,N,N,3613,Northeast,475.2464,Hour,Y,1,19
Asia,Bachelor's,N,N,563,South,766.8536,Hour,Y,1,12
South America,Doctorate,N,N,1985,Northeast,221498.71,Year,Y,0,34
Asia,Bachelor's,N,N,1403,Midwest,31337.34,Year,N,0,155
North America,High School,N,N,772,South,80017.28,Year,Y,0,30
Asia,Master's,N,N,3520,Midwest,96568.1,Year,Y,1,21
Asia,Master's,Y,N,856,South,102813.82,Year,Y,0,25
Asia,Bachelor's,Y,N,1470,Northeast,54161.55,Week,Y,1,77
Europe,Master's,N,N,195,South,46856.47,Year,Y,0,63
Asia,Master's,N,N,4027,Northeast,213.4232,Hour,Y,1,23
Asia,Bachelor's,Y,N,410,Northeast,69251.76,Year,Y,1,33
Europe,Bachelor's,N,N,328,South,101364.9,Year,N,0,18
Asia,Doctorate,Y,N,802,South,319.36,Year,Y,0,21
Asia,Master's,Y,N,3438,West,57222.86,Year,Y,0,25
Asia,Bachelor's,Y,N,2019,Northeast,88841.0,Year,Y,0,36
Asia,Bachelor's,N,N,1235,West,12965.95,Year,N,1,74
Asia,Bachelor's,N,N,1720,Northeast,559.6169,Hour,Y,1,16
South America,Bachelor's,N,N,282,Northeast,521.7731,Hour,Y,1,9
North America,Master's,Y,N,5788,South,126916.75,Year,N,0,119
Europe,Doctorate,Y,N,3670,West,1820.26,Year,Y,0,13
Asia,Bachelor's,Y,N,1586,Northeast,31054.87,Year,Y,1,69
Europe,Doctorate,Y,N,3680,Midwest,10921.36,Year,Y,0,42
Asia,Bachelor's,N,N,265,South,576.5398,Hour,Y,1,44
Asia,Master's,N,N,1697,Northeast,82094.8,Year,N,0,18
Asia,Master's,Y,N,2461,Midwest,239600.76,Year,Y,0,192
Asia,High School,N,N,3130,Midwest,111066.9,Year,Y,0,77
North America,Bachelor's,Y,N,3364,West,8270.66,Year,Y,0,22
South America,High School,Y,N,2516,West,34293.61,Year,Y,1,28
Asia,High School,N,Y,4241,Northeast,85601.64,Year,Y,1,35
Europe,Master's,N,N,1347,West,141922.07,Year,Y,0,28
Asia,Bachelor's,Y,N,3411,West,28964.08,Year,Y,0,13
Asia,Bachelor's,Y,N,917,West,42464.19,Year,Y,1,22
North America,Doctorate,N,N,12664,Northeast,190.2601,Hour,Y,1,40
Asia,Master's,N,N,1973,Midwest,43609.41,Year,Y,0,74
North America,Master's,Y,N,186,South,36549.77,Year,Y,0,16
Europe,Bachelor's,Y,N,91,Northeast,22228.36,Year,Y,0,11
Asia,High School,N,N,650,West,164473.31,Year,Y,1,44
Asia,Bachelor's,Y,N,1939,West,60354.14,Year,Y,1,51
Europe,Doctorate,N,N,1018,South,488.58,Year,Y,0,69
Asia,Bachelor's,Y,Y,2147,West,504.72,Year,Y,0,13
North America,Doctorate,Y,N,24084,Northeast,58092.99,Year,Y,0,28
Europe,High School,N,Y,558,West,192852.94,Year,Y,1,39
Europe,Bachelor's,N,N,361,South,4491.89,Year,Y,0,142
Asia,Bachelor's,N,N,33156,Northeast,45907.91,Year,Y,0,16
Asia,High School,N,N,872,Midwest,26644.41,Year,Y,1,22
Europe,Master's,N,Y,415,South,238178.7,Year,Y,0,12
Asia,Bachelor's,N,N,1695,South,98700.87,Year,Y,0,95
North America,Master's,Y,N,3551,Northeast,38253.91,Year,Y,1,46
Asia,Master's,Y,N,2296,West,70370.46,Year,Y,0,25
North America,Bachelor's,N,N,2647,Northeast,490.1982,Hour,Y,0,64
Asia,Bachelor's,N,N,91,Northeast,74455.43,Year,Y,0,43
Europe,Bachelor's,Y,Y,1716,West,16435.33,Year,Y,1,19
Asia,Bachelor's,Y,Y,1608,Midwest,46811.15,Year,Y,0,25
North America,High School,Y,N,5734,South,21159.49,Year,Y,0,60
South America,Master's,N,Y,3287,West,42710.96,Year,Y,0,99
Europe,High School,N,N,3658,Northeast,4973.17,Year,Y,0,57
Asia,Bachelor's,N,N,385,West,260.945,Hour,Y,1,23
North America,Master's,Y,N,5345,Midwest,70715.3,Year,N,0,113
Asia,Master's,Y,N,3127,West,90856.33,Year,Y,1,22
Asia,Bachelor's,N,N,1037,South,60480.29,Year,Y,1,16
Asia,High School,N,N,4512,Midwest,134604.63,Year,Y,0,29
North America,Bachelor's,N,N,1568,Northeast,27512.19,Year,Y,1,47
Asia,Bachelor's,N,Y,1273,West,210330.23,Year,Y,0,75
Europe,Bachelor's,N,N,1139,Midwest,53269.84,Year,Y,0,62
Asia,Master's,Y,N,2887,West,49648.51,Year,Y,0,18
Asia,Bachelor's,Y,N,4401,West,7805.95,Year,Y,0,23
North America,High School,Y,N,5990,West,87312.49,Year,Y,1,17
Asia,Bachelor's,N,N,1651,Midwest,47736.2,Year,Y,0,164
Asia,Bachelor's,N,Y,1258,South,34928.61,Year,Y,0,114
Asia,Master's,Y,N,874,West,46476.31,Year,Y,0,14
South America,High School,Y,N,3614,West,74251.85,Year,Y,0,25
Asia,Master's,Y,N,87861,Northeast,76915.71,Year,Y,0,25
Asia,Bachelor's,N,Y,908,South,96934.66,Year,Y,0,26
Asia,Bachelor's,Y,N,85,Northeast,18910.85,Year,Y,0,10
Asia,Master's,N,N,2916,West,20929.57,Year,Y,0,60
Europe,Master's,Y,N,2601,South,64469.58,Year,Y,0,95
Africa,High School,Y,N,3182,Northeast,50090.44,Year,Y,1,17
Africa,Master's,Y,N,3911,Midwest,46766.89,Year,Y,0,44
Europe,Doctorate,Y,N,2160,West,109286.09,Year,Y,1,47
Asia,Bachelor's,N,N,925,South,295.2023,Hour,Y,1,10
Asia,Bachelor's,Y,N,1509,Midwest,102680.92,Year,N,0,60
Asia,Master's,Y,Y,1236,South,85624.24,Year,Y,0,75
North America,Master's,Y,N,36,West,133904.24,Year,Y,0,80
Asia,Master's,Y,N,854,Northeast,172331.56,Year,Y,0,31
Asia,Master's,N,N,1341,South,76571.34,Year,Y,0,27
Oceania,High School,Y,Y,3478,West,116729.61,Year,Y,1,25
North America,Master's,N,N,2626,South,108736.26,Year,N,0,112
North America,Bachelor's,N,N,3995,Island,86652.35,Year,N,1,55
Asia,Bachelor's,N,N,1284,South,760.319,Hour,Y,1,20
Asia,Bachelor's,Y,N,2527,Northeast,59199.04,Year,Y,0,20
North America,Master's,Y,N,4196,West,15417.4,Year,Y,1,89
Asia,Bachelor's,Y,N,4719,South,174949.42,Year,Y,0,87
North America,High School,N,N,845,Northeast,38091.39,Year,Y,1,24
Asia,Bachelor's,N,N,438,Midwest,22235.8,Year,Y,1,32
Asia,Bachelor's,Y,N,9349,South,341.7415,Hour,Y,1,19
Asia,Bachelor's,N,N,971,South,130409.82,Year,Y,0,14
Asia,Master's,Y,N,1997,Midwest,172510.9,Year,Y,0,30
Asia,Master's,N,N,1375,South,702.3692,Hour,Y,0,42
Asia,Bachelor's,N,N,141,West,117476.5,Year,Y,0,165
Asia,Bachelor's,Y,N,1354,West,137296.22,Year,Y,1,46
Asia,Bachelor's,N,N,3917,West,41589.69,Year,Y,1,63
Asia,Master's,Y,N,94579,Midwest,188121.77,Year,Y,0,19
Asia,Master's,Y,N,3256,Midwest,108873.34,Year,Y,0,17
Asia,Bachelor's,N,N,770,West,142920.03,Year,N,1,19
South America,Bachelor's,N,N,3956,Northeast,58380.43,Year,Y,1,19
Asia,Master's,N,N,3484,Midwest,42988.75,Year,Y,0,20
Europe,Bachelor's,N,N,2295,West,38038.5,Year,Y,0,112
Europe,Bachelor's,N,N,2504,South,127260.07,Year,Y,1,25
Africa,Bachelor's,Y,Y,3510,Northeast,85864.24,Year,Y,0,45
Europe,Master's,N,N,3037,Midwest,89506.69,Week,Y,0,22
Asia,Master's,Y,N,1690,South,23753.01,Year,Y,0,200
Asia,High School,N,N,1999,South,43084.33,Year,Y,1,104
Asia,High School,N,Y,940,South,75815.39,Year,Y,0,22
Europe,Master's,N,N,4875,West,25308.01,Year,Y,0,17
North America,Bachelor's,N,N,3820,West,163256.18,Year,N,1,25
Asia,Doctorate,N,N,10738,Midwest,46727.57,Year,Y,0,170
Asia,Bachelor's,N,N,1129,Midwest,32941.65,Year,Y,0,104
Asia,Master's,Y,N,6755,South,30147.57,Year,Y,0,170
North America,High School,Y,Y,120,Northeast,45079.13,Year,Y,0,11
Europe,Master's,Y,N,1508,West,25774.3,Year,Y,0,18
North America,Master's,N,N,587,South,177119.9,Year,Y,1,16
Asia,Bachelor's,Y,N,368,South,77078.61,Year,Y,0,28
Asia,Master's,Y,N,587,South,61743.36,Year,Y,0,22
Asia,Master's,N,N,11928,Northeast,251.8984,Hour,Y,0,25
Europe,Master's,N,N,1129,West,163294.02,Year,N,0,183
Asia,Master's,Y,N,3781,Northeast,81775.16,Year,Y,0,29
Asia,High School,N,N,1560,Northeast,171921.87,Year,N,1,36
Europe,Bachelor's,N,N,5980,Northeast,106725.35,Year,Y,0,37
Asia,Bachelor's,N,N,2341,Midwest,67009.51,Year,Y,0,17
Asia,Bachelor's,Y,N,705,West,97688.72,Year,Y,1,63
Europe,Doctorate,N,N,3031,West,21110.82,Year,Y,0,10
Asia,Bachelor's,Y,N,4848,West,96126.21,Year,Y,0,13
North America,Bachelor's,Y,N,5661,West,143857.62,Year,Y,0,34
Asia,Master's,N,N,3795,Northeast,743.4468,Hour,Y,1,17
North America,Doctorate,Y,N,2691,Northeast,27471.41,Year,Y,0,9
South America,High School,Y,N,150963,West,17824.17,Year,Y,1,44
Asia,Doctorate,Y,N,2293,Midwest,65184.47,Year,Y,0,21
Asia,Bachelor's,Y,N,741,West,149476.72,Year,Y,1,16
Asia,Bachelor's,N,N,3529,South,100989.94,Year,Y,1,16
Europe,Master's,Y,N,2789,West,72112.74,Year,Y,0,24
Asia,Master's,N,N,5397,South,156385.87,Year,Y,0,52
Asia,Master's,N,N,2525,South,171075.49,Year,N,0,131
Europe,Doctorate,Y,N,2687,Northeast,27874.08,Year,Y,0,25
Asia,Bachelor's,N,N,2319,West,44321.76,Year,N,1,13
Asia,Master's,N,N,1904,Northeast,999.9195,Hour,Y,1,33
Asia,Bachelor's,N,N,362,Northeast,537.9665,Hour,Y,1,37
Asia,Master's,Y,N,2071,South,97268.82,Year,Y,0,32
Europe,Bachelor's,N,N,44382,Midwest,21838.7,Year,Y,0,73
Asia,Bachelor's,Y,N,1331,Northeast,27255.56,Year,Y,0,119
Asia,Master's,N,N,472,Northeast,70120.86,Year,Y,1,60
Europe,Bachelor's,Y,N,3112,Northeast,18071.68,Year,Y,0,43
Asia,Bachelor's,Y,N,1495,Midwest,85822.84,Year,Y,0,18
Asia,Bachelor's,Y,N,23581,South,49388.25,Year,Y,1,47
Asia,Master's,N,N,1829,West,124851.97,Year,Y,1,57
South America,Master's,Y,N,3996,Midwest,4530.64,Year,Y,0,176
Europe,High School,Y,N,1599,South,50155.2,Year,Y,1,27
Asia,Master's,N,N,84160,West,111449.17,Year,Y,1,35
Europe,Bachelor's,Y,N,3114,Midwest,157624.89,Year,Y,0,121
Asia,Bachelor's,Y,N,51222,Northeast,554.7338,Hour,Y,0,44
Europe,High School,N,N,3902,Northeast,44357.05,Year,Y,1,53
Asia,Master's,N,N,707,South,161238.43,Year,Y,0,15
Europe,Bachelor's,Y,Y,1934,South,91296.43,Year,Y,0,28
Europe,Doctorate,Y,N,653,West,71986.75,Year,Y,0,10
Asia,Master's,N,N,2813,South,139660.26,Year,Y,0,148
Asia,Bachelor's,Y,N,4221,Northeast,19395.62,Year,Y,1,9
Europe,Doctorate,N,N,2351,West,41500.95,Year,Y,0,11
Europe,Master's,N,Y,117494,Midwest,64149.6,Year,Y,0,26
North America,Bachelor's,Y,N,2827,Midwest,11686.84,Year,Y,1,19
Asia,Bachelor's,N,N,5816,Northeast,98525.42,Year,Y,1,11
North America,Master's,Y,N,2017,South,121441.26,Year,N,1,13
Asia,Bachelor's,N,N,1983,West,45894.58,Year,Y,1,14
Europe,Doctorate,N,N,428,Northeast,41794.8,Year,Y,0,147
Asia,Bachelor's,N,N,974,South,14125.36,Year,Y,0,177
Asia,Master's,N,N,1235,South,688.5408,Hour,Y,1,185
Asia,Bachelor's,N,N,553,South,61744.57,Year,N,0,44
Europe,Master's,Y,N,3456,Island,74053.11,Year,Y,0,32
North America,Master's,Y,N,414,Northeast,29623.54,Year,Y,0,36
Asia,Master's,Y,N,1222,Midwest,54424.62,Year,Y,0,48
Asia,Master's,Y,N,773,South,45067.85,Year,Y,0,31
Asia,Master's,N,N,1968,Northeast,229794.44,Year,N,0,114
North America,Master's,Y,N,3632,Northeast,74097.17,Year,Y,0,72
Asia,Bachelor's,Y,Y,3184,Northeast,49435.8,Year,Y,0,37
North America,Master's,Y,N,1476,South,633.6646,Hour,Y,1,15
Asia,Bachelor's,N,N,4230,Midwest,98419.73,Year,Y,1,21
Asia,Bachelor's,Y,N,5106,West,125750.1,Year,Y,0,28
Asia,Master's,Y,N,22901,West,47173.4,Year,Y,0,23
Europe,Master's,N,Y,11917,Northeast,155553.25,Year,Y,0,24
Asia,Doctorate,Y,N,71055,Northeast,42987.3,Year,Y,1,13
Asia,Master's,N,N,2373,Midwest,32197.86,Year,Y,0,31
North America,Doctorate,Y,N,625,Northeast,199.5532,Hour,Y,0,19
Europe,Bachelor's,Y,N,291,Midwest,24342.62,Year,Y,0,38
North America,High School,Y,N,4214,West,55065.35,Year,Y,1,25
Asia,Master's,N,N,1663,Midwest,359.9667,Hour,Y,1,20
Asia,Bachelor's,N,N,1366,South,204141.1,Year,Y,0,15
North America,Bachelor's,Y,N,2659,West,54830.84,Year,Y,0,20
Asia,High School,Y,N,1230,Midwest,42658.22,Year,Y,1,22
North America,High School,Y,N,325,Island,128384.95,Year,Y,0,14
Asia,Master's,N,N,74599,Midwest,68978.65,Year,Y,1,31
Asia,Bachelor's,N,N,1725,Northeast,112557.69,Year,N,1,52
Asia,High School,N,N,2446,Northeast,136201.77,Year,Y,1,14
Europe,Doctorate,N,N,3009,Northeast,81812.39,Year,Y,0,11
Asia,Master's,Y,N,1053,West,70771.41,Year,Y,0,35
Asia,Master's,Y,N,1892,Midwest,65117.59,Year,Y,0,26
Asia,Bachelor's,Y,N,3645,South,65132.85,Year,Y,0,9
Asia,Master's,Y,N,27959,West,138437.36,Year,Y,0,19
North America,Master's,Y,N,3762,Midwest,27984.17,Year,Y,0,13
Europe,Doctorate,N,Y,766,West,32035.12,Year,Y,0,30
Asia,High School,Y,N,2253,Midwest,45913.14,Year,Y,0,75
North America,Bachelor's,N,N,1559,South,70603.29,Year,Y,1,37
North America,Master's,N,N,4844,Northeast,13949.76,Year,Y,0,18
Asia,Doctorate,Y,N,2300,Midwest,76653.75,Year,Y,0,21
Asia,Bachelor's,N,N,3524,Northeast,99991.71,Year,Y,1,55
Asia,High School,Y,N,57909,West,67786.77,Year,N,1,135
Asia,Bachelor's,N,Y,3508,South,41737.57,Year,Y,1,12
Asia,Master's,Y,N,4735,West,88641.79,Year,Y,0,11
Asia,Master's,Y,N,2068,Midwest,154409.22,Year,Y,0,22
Asia,Bachelor's,N,N,15097,West,38600.3,Year,Y,1,26
Asia,Master's,Y,N,3963,West,75028.34,Year,N,0,18
North America,Master's,N,N,2660,Midwest,131032.71,Year,Y,0,18
Africa,Master's,N,N,1231,South,357.8213,Hour,Y,0,24
